"year","Damage in Millions (USD)","label"
"1950","34.48","Property Damage"
"1951","65.51","Property Damage"
"1952","94.1","Property Damage"
"1953","596.1","Property Damage"
"1954","85.81","Property Damage"
"1955","82.66","Property Damage"
"1956","116.91","Property Damage"
"1957","224.39","Property Damage"
"1958","128.99","Property Damage"
"1959","87.45","Property Damage"
"1960","118.22","Property Damage"
"1961","179.39","Property Damage"
"1962","67.2","Property Damage"
"1963","87.23","Property Damage"
"1964","165.99","Property Damage"
"1965","1762.5","Property Damage"
"1966","476.63","Property Damage"
"1967","577.02","Property Damage"
"1968","210.08","Property Damage"
"1969","113.27","Property Damage"
"1970","625.21","Property Damage"
"1971","202.12","Property Damage"
"1972","151.17","Property Damage"
"1973","2063.07","Property Damage"
"1974","1943.27","Property Damage"
"1975","826.72","Property Damage"
"1976","308.5","Property Damage"
"1977","342.02","Property Damage"
"1978","616.07","Property Damage"
"1979","946.24","Property Damage"
"1980","2152.81","Property Damage"
"1981","765.89","Property Damage"
"1982","1429.22","Property Damage"
"1983","765.86","Property Damage"
"1984","2131.17","Property Damage"
"1985","1608.1","Property Damage"
"1986","1034.91","Property Damage"
"1987","407.84","Property Damage"
"1988","1124.21","Property Damage"
"1989","1760.05","Property Damage"
"1990","1560.57","Property Damage"
"1991","1152.3","Property Damage"
"1992","1406.69","Property Damage"
"1995","10697.39","Property Damage"
"1994","3722.99","Property Damage"
"1993","16376.52","Property Damage"
"1996","6043.01","Property Damage"
"1997","8952.81","Property Damage"
"1998","9892.18","Property Damage"
"1999","8601.7","Property Damage"
"2000","5616.43","Property Damage"
"2001","9806.48","Property Damage"
"2002","3873.15","Property Damage"
"2003","10011.08","Property Damage"
"2004","25163.33","Property Damage"
"2005","96750.06","Property Damage"
"2006","6990.7","Property Damage"
"2007","5787.95","Property Damage"
"2008","15538.78","Property Damage"
"2009","5139.38","Property Damage"
"2010","9242.6","Property Damage"
"2011","20877.71","Property Damage"
"1950","0","Crop Damage"
"1951","0","Crop Damage"
"1952","0","Crop Damage"
"1953","0","Crop Damage"
"1954","0","Crop Damage"
"1955","0","Crop Damage"
"1956","0","Crop Damage"
"1957","0","Crop Damage"
"1958","0","Crop Damage"
"1959","0","Crop Damage"
"1960","0","Crop Damage"
"1961","0","Crop Damage"
"1962","0","Crop Damage"
"1963","0","Crop Damage"
"1964","0","Crop Damage"
"1965","0","Crop Damage"
"1966","0","Crop Damage"
"1967","0","Crop Damage"
"1968","0","Crop Damage"
"1969","0","Crop Damage"
"1970","0","Crop Damage"
"1971","0","Crop Damage"
"1972","0","Crop Damage"
"1973","0","Crop Damage"
"1974","0","Crop Damage"
"1975","0","Crop Damage"
"1976","0","Crop Damage"
"1977","0","Crop Damage"
"1978","0","Crop Damage"
"1979","0","Crop Damage"
"1980","0","Crop Damage"
"1981","0","Crop Damage"
"1982","0","Crop Damage"
"1983","0","Crop Damage"
"1984","0","Crop Damage"
"1985","0","Crop Damage"
"1986","0","Crop Damage"
"1987","0","Crop Damage"
"1988","0","Crop Damage"
"1989","0","Crop Damage"
"1990","0","Crop Damage"
"1991","0","Crop Damage"
"1992","0","Crop Damage"
"1995","2941.02","Crop Damage"
"1994","5806.73","Crop Damage"
"1993","5602.6","Crop Damage"
"1996","1752.53","Crop Damage"
"1997","1226.12","Crop Damage"
"1998","4206.61","Crop Damage"
"1999","3518.28","Crop Damage"
"2000","3328.05","Crop Damage"
"2001","1784.81","Crop Damage"
"2002","1310.15","Crop Damage"
"2003","1110.18","Crop Damage"
"2004","1347.11","Crop Damage"
"2005","4034.4","Crop Damage"
"2006","3534.18","Crop Damage"
"2007","1690.89","Crop Damage"
"2008","2208.94","Crop Damage"
"2009","522.13","Crop Damage"
"2010","1785.28","Crop Damage"
"2011","666.53","Crop Damage"
